timestamp,temperature,humidity,CO2,yield
2026-06-01 08:00:00,24.5,82.0,650.0,12.8
2026-06-01 09:00:00,25.1,80.0,670.0,13.0
2026-06-01 10:00:00,25.55,78.0,690.0,13.2
2026-06-01 11:00:00,26.0,76.5,710.0,13.4
2026-06-01 12:00:00,26.5,75.0,725.0,13.6
2026-06-01 13:00:00,27.0,74.0,740.0,13.8
2026-06-01 14:00:00,27.2,73.0,760.0,14.0
2026-06-01 15:00:00,27.6,72.0,780.0,14.1
2026-06-01 16:00:00,28.0,73.0,800.0,14.3
2026-06-01 17:00:00,27.5,74.0,790.0,14.2
2026-06-01 18:00:00,26.8,76.0,785.0,14.2
2026-06-01 19:00:00,25.9,78.0,790.0,14.3
2026-06-01 20:00:00,25.2,80.0,800.0,14.3
2026-06-01 21:00:00,24.6,82.0,815.0,14.3
2026-06-01 22:00:00,24.200000000000003,83.0,820.0,14.3
2026-06-01 23:00:00,23.8,85.0,830.0,14.3
2026-06-02 00:00:00,23.4,86.0,840.0,14.3
2026-06-02 01:00:00,23.1,87.0,845.0,14.3
2026-06-02 02:00:00,22.8,88.0,850.0,14.3
2026-06-02 03:00:00,22.5,88.0,855.0,14.3
2026-06-02 04:00:00,22.3,89.0,860.0,14.3
2026-06-02 05:00:00,22.4,89.0,850.0,14.3
2026-06-02 06:00:00,23.0,86.0,820.0,14.4
2026-06-02 07:00:00,23.9,84.0,750.0,14.5
2026-06-02 08:00:00,24.8,81.0,670.0,14.7
2026-06-02 09:00:00,25.4,78.5,640.0,14.9
2026-06-02 10:00:00,26.1,76.0,620.0,15.2
2026-06-02 11:00:00,26.8,73.0,610.0,15.4
2026-06-02 12:00:00,27.3,71.0,605.0,15.7
2026-06-02 13:00:00,27.7,70.0,610.0,16.0
2026-06-02 14:00:00,27.85,69.0,615.0,16.2
2026-06-02 15:00:00,28.0,70.0,630.0,16.4
2026-06-02 16:00:00,27.8,72.0,660.0,16.5
2026-06-02 17:00:00,27.3,74.0,710.0,16.6
2026-06-02 18:00:00,26.5,76.0,750.0,16.6
2026-06-02 19:00:00,25.7,79.0,780.0,16.7
2026-06-02 20:00:00,25.0,81.0,800.0,16.7
2026-06-02 21:00:00,24.5,83.0,810.0,16.7
2026-06-02 22:00:00,24.0,84.0,820.0,16.7
2026-06-02 23:00:00,23.6,86.0,830.0,16.7
2026-06-03 00:00:00,23.2,87.0,840.0,16.7
2026-06-03 01:00:00,22.9,88.0,845.0,16.7
2026-06-03 02:00:00,22.6,88.5,850.0,16.7
2026-06-03 03:00:00,22.4,89.0,855.0,16.7
2026-06-03 04:00:00,22.2,89.0,860.0,16.7
2026-06-03 05:00:00,22.3,88.0,850.0,16.8
2026-06-03 06:00:00,22.9,86.0,810.0,16.9
2026-06-03 07:00:00,23.75,83.0,730.0,17.1
2026-06-03 08:00:00,24.6,80.0,660.0,17.3
2026-06-03 09:00:00,25.3,77.0,630.0,17.6
2026-06-03 10:00:00,26.0,74.0,615.0,17.9
2026-06-03 11:00:00,26.7,71.0,600.0,18.2
2026-06-03 12:00:00,27.2,69.0,595.0,18.5
2026-06-03 13:00:00,27.6,68.0,602.5,18.8
2026-06-03 14:00:00,27.8,68.0,610.0,19.0
2026-06-03 15:00:00,27.9,69.0,625.0,19.2
2026-06-03 16:00:00,27.6,71.0,650.0,19.3
2026-06-03 17:00:00,27.1,73.0,700.0,19.4
2026-06-03 18:00:00,26.3,76.0,740.0,19.4
2026-06-03 19:00:00,25.5,78.0,775.0,19.5
2026-06-03 20:00:00,24.9,80.0,795.0,19.5
2026-06-03 21:00:00,24.4,82.0,810.0,19.5
2026-06-03 22:00:00,23.9,84.0,820.0,19.5
2026-06-03 23:00:00,23.5,85.0,825.0,19.5
2026-06-04 00:00:00,23.1,86.0,830.0,19.5
2026-06-04 01:00:00,22.8,87.0,840.0,19.5
2026-06-04 02:00:00,22.5,88.0,845.0,19.5
2026-06-04 03:00:00,22.3,88.0,850.0,19.5
2026-06-04 04:00:00,22.25,89.0,855.0,19.5
2026-06-04 05:00:00,22.2,89.0,845.0,19.6
2026-06-04 06:00:00,22.8,87.0,800.0,19.7
2026-06-04 07:00:00,23.6,84.0,720.0,19.9
2026-06-04 08:00:00,24.4,81.0,650.0,20.2
2026-06-04 09:00:00,25.1,78.0,620.0,20.5
2026-06-04 10:00:00,25.9,75.0,605.0,20.8
2026-06-04 11:00:00,26.5,72.0,590.0,21.1
2026-06-04 12:00:00,27.1,70.0,580.0,21.4
2026-06-04 13:00:00,27.5,69.0,590.0,21.7
2026-06-04 14:00:00,27.65,68.0,600.0,21.9
2026-06-04 15:00:00,27.8,69.0,615.0,22.1
2026-06-04 16:00:00,27.5,71.0,640.0,22.2
2026-06-04 17:00:00,26.9,73.0,690.0,22.3
2026-06-04 18:00:00,26.1,75.0,730.0,22.3
2026-06-04 19:00:00,25.4,77.0,760.0,22.4
2026-06-04 20:00:00,24.8,79.0,780.0,22.4
2026-06-04 21:00:00,24.3,81.0,800.0,22.4
2026-06-04 22:00:00,23.8,82.5,810.0,22.4
2026-06-04 23:00:00,23.4,84.0,815.0,22.4
2026-06-05 00:00:00,23.0,85.0,820.0,22.4
2026-06-05 01:00:00,22.6,86.0,830.0,22.4
2026-06-05 02:00:00,22.35,87.0,835.0,22.4
2026-06-05 03:00:00,22.1,87.0,840.0,22.4
2026-06-05 04:00:00,21.9,88.0,845.0,22.4
2026-06-05 05:00:00,22.0,88.0,827.5,22.5
2026-06-05 06:00:00,22.5,86.0,810.0,22.6
2026-06-05 07:00:00,23.3,83.0,740.0,22.8
2026-06-05 08:00:00,24.2,80.0,670.0,23.1
2026-06-05 09:00:00,24.9,77.0,630.0,23.4
2026-06-05 10:00:00,25.6,74.0,610.0,23.7
2026-06-05 11:00:00,26.2,71.0,595.0,24.0
