timestamp,temperature,humidity,CO2,yield
2026-06-01 08:00,24.5,82,650,12.8
2026-06-01 09:00,25.1,80,670,13.0
2026-06-01 10:00,,78,690,13.2
2026-06-01 11:00,26.0,,710,13.4
2026-06-01 12:00,26.5,75,,13.6
2026-06-01 13:00,27.0,74,740,13.8
2026-06-01 14:00,27.2,73,760,14.0
2026-06-01 15:00,,72,780,14.1
2026-06-01 16:00,28.0,,800,14.3
2026-06-01 17:00,27.5,74,790,14.2
2026-06-01 18:00,26.8,76,785,14.2
2026-06-01 19:00,25.9,78,790,14.3
2026-06-01 20:00,25.2,80,800,14.3
2026-06-01 21:00,24.6,82,815,14.3
2026-06-01 22:00,,83,820,14.3
2026-06-01 23:00,23.8,85,830,14.3
2026-06-02 00:00,23.4,86,840,14.3
2026-06-02 01:00,23.1,87,,14.3
2026-06-02 02:00,22.8,88,850,14.3
2026-06-02 03:00,22.5,88,855,14.3
2026-06-02 04:00,22.3,89,860,14.3
2026-06-02 05:00,22.4,89,850,14.3
2026-06-02 06:00,23.0,86,820,14.4
2026-06-02 07:00,23.9,84,750,14.5
2026-06-02 08:00,24.8,81,670,14.7
2026-06-02 09:00,25.4,,640,14.9
2026-06-02 10:00,26.1,76,620,15.2
2026-06-02 11:00,26.8,73,610,15.4
2026-06-02 12:00,27.3,71,605,15.7
2026-06-02 13:00,27.7,70,,16.0
2026-06-02 14:00,,69,615,16.2
2026-06-02 15:00,28.0,70,630,16.4
2026-06-02 16:00,27.8,72,660,16.5
2026-06-02 17:00,27.3,74,710,16.6
2026-06-02 18:00,26.5,76,750,16.6
2026-06-02 19:00,25.7,79,780,16.7
2026-06-02 20:00,25.0,81,800,16.7
2026-06-02 21:00,24.5,83,810,16.7
2026-06-02 22:00,24.0,84,820,16.7
2026-06-02 23:00,23.6,86,830,16.7
2026-06-03 00:00,23.2,87,840,16.7
2026-06-03 01:00,22.9,88,845,16.7
2026-06-03 02:00,22.6,,850,16.7
2026-06-03 03:00,22.4,89,855,16.7
2026-06-03 04:00,22.2,89,860,16.7
2026-06-03 05:00,22.3,88,850,16.8
2026-06-03 06:00,22.9,86,810,16.9
2026-06-03 07:00,,83,730,17.1
2026-06-03 08:00,24.6,80,660,17.3
2026-06-03 09:00,25.3,77,630,17.6
2026-06-03 10:00,26.0,74,615,17.9
2026-06-03 11:00,26.7,71,600,18.2
2026-06-03 12:00,27.2,69,595,18.5
2026-06-03 13:00,27.6,68,,18.8
2026-06-03 14:00,27.8,68,610,19.0
2026-06-03 15:00,27.9,69,625,19.2
2026-06-03 16:00,27.6,71,650,19.3
2026-06-03 17:00,27.1,73,700,19.4
2026-06-03 18:00,26.3,76,740,19.4
2026-06-03 19:00,25.5,78,775,19.5
2026-06-03 20:00,24.9,80,795,19.5
2026-06-03 21:00,,82,810,19.5
2026-06-03 22:00,23.9,84,820,19.5
2026-06-03 23:00,23.5,85,825,19.5
2026-06-04 00:00,23.1,86,830,19.5
2026-06-04 01:00,22.8,87,840,19.5
2026-06-04 02:00,22.5,88,,19.5
2026-06-04 03:00,22.3,88,850,19.5
2026-06-04 04:00,,89,855,19.5
2026-06-04 05:00,22.2,89,845,19.6
2026-06-04 06:00,22.8,87,800,19.7
2026-06-04 07:00,23.6,84,720,19.9
2026-06-04 08:00,24.4,,650,20.2
2026-06-04 09:00,25.1,78,620,20.5
2026-06-04 10:00,25.9,75,605,20.8
2026-06-04 11:00,26.5,72,590,21.1
2026-06-04 12:00,27.1,70,580,21.4
2026-06-04 13:00,27.5,69,,21.7
2026-06-04 14:00,,68,600,21.9
2026-06-04 15:00,27.8,69,615,22.1
2026-06-04 16:00,27.5,71,640,22.2
2026-06-04 17:00,26.9,73,690,22.3
2026-06-04 18:00,26.1,75,730,22.3
2026-06-04 19:00,25.4,77,760,22.4
2026-06-04 20:00,24.8,79,780,22.4
2026-06-04 21:00,24.3,81,800,22.4
2026-06-04 22:00,23.8,,810,22.4
2026-06-04 23:00,23.4,84,815,22.4
2026-06-05 00:00,23.0,85,820,22.4
2026-06-05 01:00,22.6,86,830,22.4
2026-06-05 02:00,,87,835,22.4
2026-06-05 03:00,22.1,87,840,22.4
2026-06-05 04:00,21.9,88,845,22.4
2026-06-05 05:00,22.0,88,,22.5
2026-06-05 06:00,22.5,86,810,22.6
2026-06-05 07:00,23.3,83,740,22.8
2026-06-05 08:00,24.2,80,670,23.1
2026-06-05 09:00,24.9,77,630,23.4
2026-06-05 10:00,25.6,,610,23.7
2026-06-05 11:00,26.2,71,595,24.0
