timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg
2024-01-01,,81.68,960.6,14.61
2024-01-02,21.65,82.76,826.2,12.32
2024-01-03,23.62,87.99,969.6,13.59
2024-01-04,25.81,87.44,1008.5,17.34
2024-01-05,21.41,84.92,933.1,
2024-01-06,21.41,,1050.1,13.64
2024-01-07,25.95,90.11,838.1,
2024-01-08,23.92,82.63,800.4,15.74
2024-01-09,20.83,87.19,757.7,15.44
2024-01-10,23.36,84.19,,19.99
2024-01-11,20.84,84.13,952.3,12.58
2024-01-12,20.84,89.4,895.6,14.16
2024-01-13,22.6,88.3,922.4,14.25
2024-01-14,17.22,88.25,810.0,18.23
2024-01-15,17.69,90.22,1095.7,13.21
2024-01-16,20.59,85.08,910.3,14.34
2024-01-17,19.47,87.73,908.8,15.32
2024-01-18,22.79,83.76,958.1,14.06
2024-01-19,19.73,86.3,938.5,12.16
2024-01-20,18.47,84.48,917.9,14.08
2024-01-21,25.66,85.39,836.8,16.72
2024-01-22,21.44,87.38,937.7,10.42
2024-01-23,22.17,81.73,1050.6,13.9
2024-01-24,18.44,93.37,1007.6,11.4
2024-01-25,20.64,80.98,1027.5,17.09
2024-01-26,22.28,80.14,859.1,8.93
2024-01-27,19.12,89.63,820.8,11.82
2024-01-28,22.94,88.17,889.9,14.63
2024-01-29,20.5,87.5,904.5,18.2
2024-01-30,21.27,87.51,987.5,13.3
2024-01-31,20.5,84.95,764.6,11.83
2024-02-01,26.63,81.41,1022.4,
2024-02-02,21.97,85.3,887.4,9.16
2024-02-03,19.36,82.29,865.8,
2024-02-04,24.06,,819.0,14.82
2024-02-05,18.95,84.41,767.6,11.99
2024-02-06,22.52,81.7,,10.44
2024-02-07,17.1,83.71,905.9,15.63
2024-02-08,18.68,86.65,,14.23
2024-02-09,22.49,82.75,796.4,11.81
2024-02-10,23.85,81.71,873.1,9.66
2024-02-11,22.43,85.97,1033.5,
2024-02-12,21.71,85.98,879.2,15.45
2024-02-13,21.25,82.97,779.7,
2024-02-14,18.3,83.12,,19.04
2024-02-15,20.2,85.93,878.2,10.29
2024-02-16,20.85,79.21,684.2,8.92
2024-02-17,24.64,79.37,895.7,11.42
2024-02-18,22.86,82.13,881.5,13.36
2024-02-19,17.59,84.15,955.7,14.23
2024-02-20,22.81,86.24,1047.9,12.78
2024-02-21,21.04,90.9,990.1,14.56
2024-02-22,20.31,88.43,878.5,9.75
2024-02-23,23.53,84.36,,17.83
2024-02-24,24.58,84.92,1105.9,13.25
2024-02-25,24.33,80.99,904.7,16.85
2024-02-26,,84.93,901.1,14.53
2024-02-27,21.23,83.85,898.1,
2024-02-28,22.83,86.29,915.8,15.21
2024-02-29,24.44,81.69,888.5,14.84
2024-03-01,20.8,,854.1,15.43
2024-03-02,21.54,,856.3,17.49
2024-03-03,19.23,84.56,897.4,14.09
2024-03-04,19.01,86.61,856.5,15.63
2024-03-05,24.03,87.76,843.0,13.23
2024-03-06,25.39,83.4,908.5,17.82
2024-03-07,21.82,85.9,879.6,11.47
2024-03-08,24.51,85.05,1020.3,18.9
2024-03-09,22.9,85.39,687.9,13.38
2024-03-10,20.39,81.91,987.3,9.21
2024-03-11,22.9,,999.7,
2024-03-12,25.85,86.99,734.1,11.46
2024-03-13,21.91,90.8,872.6,16.02
2024-03-14,,,870.3,11.54
2024-03-15,15.45,93.61,,12.16
2024-03-16,24.05,,837.8,7.83
2024-03-17,22.22,88.49,811.2,12.14
2024-03-18,21.25,85.73,,6.23
2024-03-19,22.23,93.76,974.9,
2024-03-20,17.03,,1001.7,
2024-03-21,,81.64,957.7,15.86
2024-03-22,22.89,82.6,809.7,14.78
2024-03-23,,76.5,,10.6
2024-03-24,20.7,82.9,939.1,13.36
2024-03-25,19.98,81.96,802.2,13.49
2024-03-26,20.75,85.6,957.0,10.02
2024-03-27,,86.37,880.8,18.01
2024-03-28,22.82,92.5,870.0,16.13
2024-03-29,20.68,88.8,956.9,12.84
2024-03-30,23.28,82.69,935.5,13.58
2024-03-31,22.24,81.41,871.1,14.13
2024-04-01,24.42,86.97,992.7,7.37
2024-04-02,20.24,79.72,813.5,12.76
2024-04-03,21.18,92.33,,11.45
2024-04-04,21.02,89.72,947.4,
2024-04-05,18.34,83.12,,
2024-04-06,22.74,78.15,926.1,18.89
2024-04-07,22.65,90.42,799.9,15.42
2024-04-08,22.01,84.54,973.9,11.79
2024-04-09,21.41,,885.2,15.22
2024-04-10,18.46,78.62,858.2,17.7
2024-04-11,20.95,82.6,983.9,16.27
2024-04-12,21.14,85.02,843.7,13.68
2024-04-13,19.99,85.19,787.3,11.56
2024-04-14,21.6,83.2,,15.59
2024-04-15,23.01,87.49,948.5,14.68
2024-04-16,,80.73,797.6,16.19
2024-04-17,22.44,84.43,1040.4,15.41
2024-04-18,22.64,85.48,,16.65
2024-04-19,21.81,87.06,1035.7,11.89
2024-04-20,17.2,87.85,,17.45
2024-04-21,,80.5,892.3,14.09
2024-04-22,22.15,78.86,856.4,19.73
2024-04-23,28.16,90.11,931.9,11.43
2024-04-24,21.52,86.33,897.0,18.71
2024-04-25,22.75,82.01,988.3,14.09
